cuda
  3%|█▉                                                             | 31/999 [00:23<12:02,  1.34it/s]
Episode 1: Total Reward = -1226.931256442885
Episode 2: Total Reward = -1288.3624503567457
Episode 3: Total Reward = -1192.2648350694872
Episode 4: Total Reward = -1270.579257817539
Episode 5: Total Reward = -1228.479767559244
Episode 6: Total Reward = -1288.394762963117
Episode 7: Total Reward = -1225.8085865032929
Episode 8: Total Reward = -1172.0748993387397
Episode 9: Total Reward = -1335.2638478080544
Episode 10: Total Reward = -1278.236886591303
Episode 11: Total Reward = -1356.088937596662
Episode 12: Total Reward = -1345.9748276353291
Episode 13: Total Reward = -1409.7049791371655
Episode 14: Total Reward = -1300.0429631085499
Episode 15: Total Reward = -1270.3634190657567
Episode 16: Total Reward = -1307.2552809009069
Episode 17: Total Reward = -1282.4268472185202
Episode 18: Total Reward = -1174.121904523937
Episode 19: Total Reward = -1315.4388659405097
Episode 20: Total Reward = -1278.4177608370358
Episode 21: Total Reward = -1353.930087006727
Episode 22: Total Reward = -1369.0777684974216
Episode 23: Total Reward = -1344.4921648079433
Episode 24: Total Reward = -1477.0223313114634
Episode 25: Total Reward = -1533.6725036391363
Episode 26: Total Reward = -1568.9053295272988
Episode 27: Total Reward = -1551.8291802569934
Episode 28: Total Reward = -1603.36969606506
Episode 29: Total Reward = -1573.440583608229
Episode 30: Total Reward = -1601.4914237877
Episode 31: Total Reward = -1634.8819267959598
Episode 32: Total Reward = -1664.2300197951201
Episode 33: Total Reward = -1580.4500041047386
Episode 34: Total Reward = -1574.823074739968
Episode 35: Total Reward = -1651.4683874588732
Episode 36: Total Reward = -1690.327566852639
Episode 37: Total Reward = -1682.2622973371426
Episode 38: Total Reward = -1650.2781420637232
Episode 39: Total Reward = -1718.0789055330963
Episode 40: Total Reward = -1696.3232456651135
Episode 41: Total Reward = -1691.065679274442
Episode 42: Total Reward = -1686.0708823936284
Episode 43: Total Reward = -1666.2843548066635
Episode 44: Total Reward = -1687.6622787600288
Episode 45: Total Reward = -1668.946524957367
Episode 46: Total Reward = -1676.903178220556
Episode 47: Total Reward = -1670.1639855864212
Episode 48: Total Reward = -1669.6416280272374
Episode 49: Total Reward = -1657.968424307443
Episode 50: Total Reward = -1629.4668333916447
Episode 51: Total Reward = -1628.3473863953661
