cuda
  6%|███▉                                                           | 31/499 [00:12<03:07,  2.50it/s]
Episode 1: Total Reward = -1310.7862020654425
Episode 2: Total Reward = -1173.2557327669927
Episode 3: Total Reward = -1319.5367254612943
Episode 4: Total Reward = -1230.1270851775826
Episode 5: Total Reward = -1203.0383671170434
Episode 6: Total Reward = -1312.4663025553707
Episode 7: Total Reward = -1302.656892070348
Episode 8: Total Reward = -1171.9207908630306
Episode 9: Total Reward = -1288.0076281873223
Episode 10: Total Reward = -1293.9661067795782
Episode 11: Total Reward = -1241.583979579282
Episode 12: Total Reward = -1110.5332300672274
Episode 13: Total Reward = -1218.4209875123
Episode 14: Total Reward = -1266.2268236277341
Episode 15: Total Reward = -1296.1169346295374
Episode 16: Total Reward = -1281.5923695529
Episode 17: Total Reward = -1160.8598902010804
Episode 18: Total Reward = -1167.7248845356821
Episode 19: Total Reward = -1185.1170726363848
Episode 20: Total Reward = -1327.515520695277
Episode 21: Total Reward = -1404.9277987562652
Episode 22: Total Reward = -1252.215688279014
Episode 23: Total Reward = -1180.7189834139638
Episode 24: Total Reward = -1312.2171220065352
Episode 25: Total Reward = -1332.616694901546
Episode 26: Total Reward = -1292.1023908424313
Episode 27: Total Reward = -1248.1821119602705
Episode 28: Total Reward = -1274.4562018283082
Episode 29: Total Reward = -1315.1177398423279
Episode 30: Total Reward = -1317.6497831540626
Episode 31: Total Reward = -1311.1181215891866
Episode 32: Total Reward = -1175.0767347439469
Episode 33: Total Reward = -1291.0563132604018
Episode 34: Total Reward = -1215.8218072873233
Episode 35: Total Reward = -1282.98600719132
Episode 36: Total Reward = -1140.6521113009621
Episode 37: Total Reward = -1253.2104021461946
Episode 38: Total Reward = -1331.5930462707165
Episode 39: Total Reward = -1264.652514086788
Episode 40: Total Reward = -1183.757528407088
Episode 41: Total Reward = -1237.181120935609
Episode 42: Total Reward = -1248.1732500858793
Episode 43: Total Reward = -1275.7531312612393
Episode 44: Total Reward = -1276.9770326270077
Episode 45: Total Reward = -1286.0202022087358
Episode 46: Total Reward = -1253.3993647993814
Episode 47: Total Reward = -1294.92146897969
Episode 48: Total Reward = -1176.545321917993
Episode 49: Total Reward = -1349.464048520041
Episode 50: Total Reward = -1269.77279766506
Episode 51: Total Reward = -1361.7587523341465
Episode 52: Total Reward = -1232.9677850753492
Episode 53: Total Reward = -1191.3026817690657
Episode 54: Total Reward = -1268.8686023372334
Episode 55: Total Reward = -1267.0494801938553
Episode 56: Total Reward = -1178.0766232485782
Episode 57: Total Reward = -1181.1127348895147
Episode 58: Total Reward = -1233.782608391004
Episode 59: Total Reward = -1287.4086769670762
Episode 60: Total Reward = -1278.630357012059
Episode 61: Total Reward = -1179.4615508575814
Episode 62: Total Reward = -1290.0158401903186
Episode 63: Total Reward = -1263.3336550234937
Episode 64: Total Reward = -1333.614310594592
Episode 65: Total Reward = -1201.7667732712048
Episode 66: Total Reward = -1225.2251422858064
Episode 67: Total Reward = -1249.7379037958783
Episode 68: Total Reward = -1306.475580267876
Episode 69: Total Reward = -1181.918439451362
Episode 70: Total Reward = -1280.4962278289784
Episode 71: Total Reward = -1260.5155672267124
Episode 72: Total Reward = -1346.0074471100743
Episode 73: Total Reward = -1301.9530961778667
Episode 74: Total Reward = -1292.4111163611208
Episode 75: Total Reward = -1233.3824009144064
Episode 76: Total Reward = -1311.8770865207998
Episode 77: Total Reward = -1217.6732872198177
Episode 78: Total Reward = -1248.6058545281956
Episode 79: Total Reward = -1171.5564607087902
Episode 80: Total Reward = -1305.9811539211985
Episode 81: Total Reward = -1280.2900378724473
Episode 82: Total Reward = -1183.174191017746
Episode 83: Total Reward = -1230.40285267106
Episode 84: Total Reward = -1304.2172751413705
Episode 85: Total Reward = -1188.7694077512988
Episode 86: Total Reward = -1288.896588355718
Episode 87: Total Reward = -1254.0365487980189
Episode 88: Total Reward = -1342.3636633619828
Episode 89: Total Reward = -1169.0608373582925
Episode 90: Total Reward = -1274.9581576256508
Episode 91: Total Reward = -1181.6748032810137
Episode 92: Total Reward = -1142.200141806597
Episode 93: Total Reward = -1312.6735911332112
Episode 94: Total Reward = -1176.8293603115133
Episode 95: Total Reward = -1291.3523798850565
Episode 96: Total Reward = -1223.6720709885951
Episode 97: Total Reward = -1279.8837538095968
Episode 98: Total Reward = -1296.3812982329691
Episode 99: Total Reward = -1278.6911047133997
Episode 100: Total Reward = -1405.8436134977192
Episode 101: Total Reward = -1242.687326776205
Episode 102: Total Reward = -1288.0423135634876
Episode 103: Total Reward = -1232.1077478534867
Episode 104: Total Reward = -1161.1309520454129
Episode 105: Total Reward = -1295.9546076946551
Episode 106: Total Reward = -1215.9885777478887
Episode 107: Total Reward = -1161.7781606065917
Episode 108: Total Reward = -1210.1137668822175
Episode 109: Total Reward = -1314.1219238997576
Episode 110: Total Reward = -1243.9129762536709
Episode 111: Total Reward = -1266.2238646948792
Episode 112: Total Reward = -1277.829699881289
Episode 113: Total Reward = -1291.99245386166
Episode 114: Total Reward = -1204.1521711851
Episode 115: Total Reward = -1358.706801872525
Episode 116: Total Reward = -1290.7202570152642
Episode 117: Total Reward = -1074.3646309314736
Episode 118: Total Reward = -1318.878212883223
Episode 119: Total Reward = -1172.7272277692718
Episode 120: Total Reward = -1301.9157527862667
Episode 121: Total Reward = -1194.3146818515422
Episode 122: Total Reward = -1282.5610803570423
Episode 123: Total Reward = -1267.706170671611
Episode 124: Total Reward = -1204.771464635827
Episode 125: Total Reward = -1164.151566692208
Episode 126: Total Reward = -1153.5314478480097
Episode 127: Total Reward = -1177.1628016648917
Episode 128: Total Reward = -1116.706833844946
Episode 129: Total Reward = -1192.2557041169264
Episode 130: Total Reward = -1181.9407609091318
Episode 131: Total Reward = -1138.7068800873985
Episode 132: Total Reward = -1074.6597524800034
Episode 133: Total Reward = -1272.412688809267
Episode 134: Total Reward = -1274.8445270596555
Episode 135: Total Reward = -1254.7743747391896
Episode 136: Total Reward = -1251.9233644754493
Episode 137: Total Reward = -1263.8033689738495
Episode 138: Total Reward = -1079.169562037487
Episode 139: Total Reward = -968.2390536631351
Episode 140: Total Reward = -1092.9006326837143
Episode 141: Total Reward = -1157.6900988289835
Episode 142: Total Reward = -1165.5632329831997
Episode 143: Total Reward = -1179.768945310386
Episode 144: Total Reward = -991.9660457666444
