cuda
  6%|███▉                                                           | 31/499 [00:12<03:06,  2.50it/s]
Episode 1: Total Reward = -763.1224705940433
Episode 2: Total Reward = -862.2152172480114
Episode 3: Total Reward = -825.7006243770554
Episode 4: Total Reward = -762.4820461992665
Episode 5: Total Reward = -971.5288007986704
Episode 6: Total Reward = -966.1197491529499
Episode 7: Total Reward = -763.9895634247795
Episode 8: Total Reward = -859.5109766482216
Episode 9: Total Reward = -895.1873892257189
Episode 10: Total Reward = -890.2924042518248
Episode 11: Total Reward = -743.5619103283985
Episode 12: Total Reward = -964.5422782599535
Episode 13: Total Reward = -865.3429796686431
Episode 14: Total Reward = -774.5786004065294
Episode 15: Total Reward = -889.4766185745322
Episode 16: Total Reward = -870.4099629048414
Episode 17: Total Reward = -870.6992911518869
Episode 18: Total Reward = -764.6745377477273
Episode 19: Total Reward = -966.6797072934072
Episode 20: Total Reward = -1049.8744281080742
Episode 21: Total Reward = -857.1223496302587
Episode 22: Total Reward = -973.3976584483433
Episode 23: Total Reward = -1191.6193594529464
Episode 24: Total Reward = -840.1856709461715
Episode 25: Total Reward = -1071.3326410924465
Episode 26: Total Reward = -1080.0072038047813
Episode 27: Total Reward = -1200.5314953914456
Episode 28: Total Reward = -1174.6337407594617
Episode 29: Total Reward = -1192.0998789939827
Episode 30: Total Reward = -1218.7801764752237
Episode 31: Total Reward = -1240.4203490734624
Episode 32: Total Reward = -1178.7015241806675
Episode 33: Total Reward = -1265.5719506102055
Episode 34: Total Reward = -1321.4372668869069
Episode 35: Total Reward = -1285.9994921782381
Episode 36: Total Reward = -1299.141079159329
Episode 37: Total Reward = -1319.0749736487576
Episode 38: Total Reward = -1254.715308884335
Episode 39: Total Reward = -1299.8251521068373
Episode 40: Total Reward = -1277.321940669912
Episode 41: Total Reward = -1273.4021384668786
Episode 42: Total Reward = -1299.855982377411
Episode 43: Total Reward = -1335.513181745393
Episode 44: Total Reward = -1334.3830241196147
Episode 45: Total Reward = -1389.3188339539463
Episode 46: Total Reward = -1336.2328760029004
Episode 47: Total Reward = -1348.8590977497058
Episode 48: Total Reward = -1339.8352215764085
Episode 49: Total Reward = -1444.2566422928976
Episode 50: Total Reward = -1458.4198484294313
Episode 51: Total Reward = -1351.4191702137744
Episode 52: Total Reward = -1409.0505320811328
Episode 53: Total Reward = -1402.8716848152578
Episode 54: Total Reward = -1415.436827193323
Episode 55: Total Reward = -1280.0425529185122
Episode 56: Total Reward = -1320.6155093541586
Episode 57: Total Reward = -1380.7209779797538
Episode 58: Total Reward = -1465.897974638744
Episode 59: Total Reward = -1259.6739123619052
Episode 60: Total Reward = -1361.3111547661242
Episode 61: Total Reward = -1354.5311531835864
Episode 62: Total Reward = -1268.5825005793947
Episode 63: Total Reward = -1317.9269377041546
Episode 64: Total Reward = -1308.9428959811419
Episode 65: Total Reward = -1362.5245163529257
Episode 66: Total Reward = -1369.4926239282663
Episode 67: Total Reward = -1315.5659498325938
Episode 68: Total Reward = -1328.4967880374347
Episode 69: Total Reward = -1269.0661771347702
Episode 70: Total Reward = -1261.1521158487558
Episode 71: Total Reward = -1410.8582209573242
Episode 72: Total Reward = -1389.355562328729
Episode 73: Total Reward = -1341.8970745973565
Episode 74: Total Reward = -1335.818663351242
Episode 75: Total Reward = -1378.4009292479507
Episode 76: Total Reward = -1437.418428866893
Episode 77: Total Reward = -1366.1280984408954
Episode 78: Total Reward = -1350.7510195430038
Episode 79: Total Reward = -1341.9331060598481
Episode 80: Total Reward = -1484.0206190289045
Episode 81: Total Reward = -1367.4580470936353
Episode 82: Total Reward = -1422.1181745570145
Episode 83: Total Reward = -1433.1798961740842
Episode 84: Total Reward = -1420.6660768796803
Episode 85: Total Reward = -1440.7493406592628
Episode 86: Total Reward = -1496.9448103583354
Episode 87: Total Reward = -1429.9392931439859
Episode 88: Total Reward = -1457.909503334765
Episode 89: Total Reward = -1481.923654673715
Episode 90: Total Reward = -1481.1248466012626
Episode 91: Total Reward = -1410.2211706795115
Episode 92: Total Reward = -1449.4826977753403
Episode 93: Total Reward = -1526.690729040396
Episode 94: Total Reward = -1470.0558349866492
Episode 95: Total Reward = -1405.1846713699817
Episode 96: Total Reward = -1474.631981193727
Episode 97: Total Reward = -1447.0377822795076
Episode 98: Total Reward = -1480.2240740875518
Episode 99: Total Reward = -1502.3890023785239
Episode 100: Total Reward = -1523.9216481139065
Episode 101: Total Reward = -1546.9913976516546
Episode 102: Total Reward = -1433.681422365838
Episode 103: Total Reward = -1431.7134437475097
Episode 104: Total Reward = -1450.887899596267
Episode 105: Total Reward = -1519.8474365757663
Episode 106: Total Reward = -1459.3301078438901
Episode 107: Total Reward = -1541.936485521893
Episode 108: Total Reward = -1492.5820501995217
Episode 109: Total Reward = -1534.5705797826818
Episode 110: Total Reward = -1469.3654118361635
Episode 111: Total Reward = -1456.598826353288
Episode 112: Total Reward = -766.2402621168184
Episode 113: Total Reward = -1358.7278747290281
Episode 114: Total Reward = -1509.996594350022
Episode 115: Total Reward = -653.4748405161076
Episode 116: Total Reward = -1271.4343156562882
Episode 117: Total Reward = -1448.561627496808
Episode 118: Total Reward = -1138.510232227312
Episode 119: Total Reward = -1096.102202871177
Episode 120: Total Reward = -1000.9065055023558
Episode 121: Total Reward = -1468.394325727182
Episode 122: Total Reward = -882.8463835006578
Episode 123: Total Reward = -1178.0713644974599
Episode 124: Total Reward = -1025.838164039492
Episode 125: Total Reward = -493.4225980101756
Episode 126: Total Reward = -1122.2226448322251
Episode 127: Total Reward = -1261.6218017567444
Episode 128: Total Reward = -1308.885824905736
Episode 129: Total Reward = -1427.2846857985062
Episode 130: Total Reward = -884.4191624565277
Episode 131: Total Reward = -980.742988552713
Episode 132: Total Reward = -923.1284796103375
Episode 133: Total Reward = -1224.1298473706343
Episode 134: Total Reward = -1127.8242362664002
Episode 135: Total Reward = -678.9655552566144
Episode 136: Total Reward = -1180.5375069574284
Episode 137: Total Reward = -675.4926707443301
Episode 138: Total Reward = -1502.0984868485043
Episode 139: Total Reward = -956.4274682945538
Episode 140: Total Reward = -1361.9253353243073
Episode 141: Total Reward = -1039.4023267416558
Episode 142: Total Reward = -964.1781647077606
Episode 143: Total Reward = -1269.2073842722277
Episode 144: Total Reward = -1434.1186118288285
Episode 145: Total Reward = -1242.410785594535
Episode 146: Total Reward = -1296.1840911522559
Episode 147: Total Reward = -1378.1215047456546
Episode 148: Total Reward = -1263.9475449254855
Episode 149: Total Reward = -1268.8456410144922
Episode 150: Total Reward = -1279.367095757753
Episode 151: Total Reward = -1324.5379382616368
Episode 152: Total Reward = -1165.6383342440354
Episode 153: Total Reward = -908.8311782252202
Episode 154: Total Reward = -1241.5265294312048
Episode 155: Total Reward = -1112.4856451483993
Episode 156: Total Reward = -1305.6677125614028
Episode 157: Total Reward = -1320.6288381738177
Episode 158: Total Reward = -1388.570371740185
Episode 159: Total Reward = -1305.0720582434305
Episode 160: Total Reward = -1429.0042342316228
Episode 161: Total Reward = -1338.2154542942033
Episode 162: Total Reward = -1367.63814758438
Episode 163: Total Reward = -1444.5988635106362
Episode 164: Total Reward = -1306.0517523829321
Episode 165: Total Reward = -1232.364956428081
Episode 166: Total Reward = -1444.1524717904779
Episode 167: Total Reward = -1378.8764583026289
Episode 168: Total Reward = -1316.310257928761
Episode 169: Total Reward = -1292.8686078461715
Episode 170: Total Reward = -927.4866329321883
Episode 171: Total Reward = -1346.7066961096748
Episode 172: Total Reward = -1250.6569188198557
Episode 173: Total Reward = -1297.6742984660366
Episode 174: Total Reward = -1256.5835868138513
Episode 175: Total Reward = -1015.1545087449763
Episode 176: Total Reward = -1276.504585856218
Episode 177: Total Reward = -1121.3798578572832
Episode 178: Total Reward = -1275.5244995588525
Episode 179: Total Reward = -924.5313372163018
Episode 180: Total Reward = -693.2488825738934
Episode 181: Total Reward = -967.4818702459148
Episode 182: Total Reward = -1316.4820246217032
Episode 183: Total Reward = -1183.8534045241101
Episode 184: Total Reward = -1263.7164053771726
Episode 185: Total Reward = -1220.3485665960063
Episode 186: Total Reward = -1257.8358671225158
Episode 187: Total Reward = -1277.034408079536
Episode 188: Total Reward = -1080.5111223573958
Episode 189: Total Reward = -1269.0592500597713
Episode 190: Total Reward = -1263.0210515760305
Episode 191: Total Reward = -743.7678972624531
Episode 192: Total Reward = -1272.9668392347423
Episode 193: Total Reward = -1311.419668935089
Episode 194: Total Reward = -911.5412552815112
Episode 195: Total Reward = -1243.6449116286396
Episode 196: Total Reward = -1274.8216133580672
Episode 197: Total Reward = -603.817756020699
Episode 198: Total Reward = -1239.6262074961012
Episode 199: Total Reward = -1223.3041102561535
Episode 200: Total Reward = -1093.3343987508038
Episode 201: Total Reward = -1264.6480726972154
Episode 202: Total Reward = -1252.427508006109
Episode 203: Total Reward = -1265.6937196430936
Episode 204: Total Reward = -1263.7295474849316
Episode 205: Total Reward = -1147.5048499883833
Episode 206: Total Reward = -1238.611346936438
Episode 207: Total Reward = -1220.3636940892507
Episode 208: Total Reward = -1259.4608499080844
Episode 209: Total Reward = -1193.448897513843
Episode 210: Total Reward = -1237.0489502735613
Episode 211: Total Reward = -1252.381659829496
Episode 212: Total Reward = -1217.7147689269361
Episode 213: Total Reward = -1281.6396015240473
