cuda
  6%|███████▍                                                                                                               | 31/499 [00:12<03:06,  2.52it/s]
Episode 1: Total Reward = -979.659991794946
Episode 2: Total Reward = -1107.0065868785582
Episode 3: Total Reward = -1169.750365995495
Episode 4: Total Reward = -1077.9656438106388
Episode 5: Total Reward = -967.0321104532978
Episode 6: Total Reward = -968.9672801008228
Episode 7: Total Reward = -1096.6369638642666
Episode 8: Total Reward = -968.1484796929379
Episode 9: Total Reward = -1143.1356936354703
Episode 10: Total Reward = -1010.4406216894854
Episode 11: Total Reward = -1074.2950218763742
Episode 12: Total Reward = -931.7002509994699
Episode 13: Total Reward = -1001.7455212974315
Episode 14: Total Reward = -1086.2878529450463
Episode 15: Total Reward = -1020.3038571266349
Episode 16: Total Reward = -1176.7496864767586
Episode 17: Total Reward = -971.6559299034516
Episode 18: Total Reward = -854.6539803446416
Episode 19: Total Reward = -1133.400904373434
Episode 20: Total Reward = -1070.920733442835
Episode 21: Total Reward = -1126.046750229413
Episode 22: Total Reward = -1068.5215528864962
Episode 23: Total Reward = -1167.990030721089
Episode 24: Total Reward = -970.9248399451224
Episode 25: Total Reward = -1063.9102971753946
Episode 26: Total Reward = -1087.3394407213627
Episode 27: Total Reward = -1162.1242304445902
Episode 28: Total Reward = -998.2306455638459
Episode 29: Total Reward = -1171.9767598668493
Episode 30: Total Reward = -994.2955788284379
Episode 31: Total Reward = -1155.9214686872317
Episode 32: Total Reward = -1069.252694051207
Episode 33: Total Reward = -1061.7188418031037
Episode 34: Total Reward = -1145.7475754398058
Episode 35: Total Reward = -1158.844438042437
Episode 36: Total Reward = -1198.6495857160253
Episode 37: Total Reward = -1067.8435248151857
Episode 38: Total Reward = -1086.3393093660238
Episode 39: Total Reward = -1105.4453358705146
Episode 40: Total Reward = -1106.5813161825017
Episode 41: Total Reward = -1073.6027434804478
Episode 42: Total Reward = -1168.6460675938683
Episode 43: Total Reward = -886.4864671642816
Episode 44: Total Reward = -1047.7980977297066
Episode 45: Total Reward = -1051.4916382341623
Episode 46: Total Reward = -1101.0814674141511
Episode 47: Total Reward = -858.4077419493586
Episode 48: Total Reward = -1165.6660413362097
Episode 49: Total Reward = -1069.9454809740503
Episode 50: Total Reward = -1188.7396443819819
Episode 51: Total Reward = -967.2509783100622
Episode 52: Total Reward = -1068.42862963819
Episode 53: Total Reward = -1083.9971542472563
Episode 54: Total Reward = -1072.6288941558767
Episode 55: Total Reward = -1069.878038892068
Episode 56: Total Reward = -1056.7882053236092
Episode 57: Total Reward = -1166.2543634900774
Episode 58: Total Reward = -906.1536657414308
Episode 59: Total Reward = -1112.7995884832562
Episode 60: Total Reward = -1074.0131190712764
Episode 61: Total Reward = -969.6841541291868
Episode 62: Total Reward = -859.9917289754242
Episode 63: Total Reward = -1072.2601576961442
Episode 64: Total Reward = -1070.1570770432336
Episode 65: Total Reward = -964.8065692697782
Episode 66: Total Reward = -858.4904005749936
Episode 67: Total Reward = -1062.445570348485
Episode 68: Total Reward = -1066.282980757319
Episode 69: Total Reward = -1070.5713911371272
Episode 70: Total Reward = -908.4857324320461
Episode 71: Total Reward = -1079.056795724327
Episode 72: Total Reward = -1072.1000393732636
Episode 73: Total Reward = -1160.7326260828884
Episode 74: Total Reward = -1071.3042106228054
Episode 75: Total Reward = -1002.9835580221597
Episode 76: Total Reward = -1143.1049117352472
Episode 77: Total Reward = -969.3422713782385
Episode 78: Total Reward = -1203.8020194105613
Episode 79: Total Reward = -1082.8856529979648
Episode 80: Total Reward = -1156.333076042699
Episode 81: Total Reward = -1108.5121429032686
Episode 82: Total Reward = -1174.97651116723
Episode 83: Total Reward = -1164.1050099353333
Episode 84: Total Reward = -1198.9050045555066
Episode 85: Total Reward = -885.3975386598142
Episode 86: Total Reward = -1074.948589797956
Episode 87: Total Reward = -1179.9171769528002
Episode 88: Total Reward = -1173.1401534151594
Episode 89: Total Reward = -1183.183459266925
Episode 90: Total Reward = -1060.4665244212083
Episode 91: Total Reward = -1172.8774214227974
Episode 92: Total Reward = -1073.9044232310453
Episode 93: Total Reward = -1071.640913061387
Episode 94: Total Reward = -1073.1629491484146
Episode 95: Total Reward = -1248.5204325718053
Episode 96: Total Reward = -970.3441618447998
Episode 97: Total Reward = -1178.8817695017863
Episode 98: Total Reward = -1208.7407755105269
Episode 99: Total Reward = -1168.25128463413
Episode 100: Total Reward = -1199.7916874049256
Episode 101: Total Reward = -1184.03975824435
Episode 102: Total Reward = -1250.919409681987
Episode 103: Total Reward = -1072.1655783823874
Episode 104: Total Reward = -1135.8517147502234
Episode 105: Total Reward = -1273.3285346113992
Episode 106: Total Reward = -1087.1357587657672
Episode 107: Total Reward = -1133.3801934178164
Episode 108: Total Reward = -1317.3480506246508
Episode 109: Total Reward = -1139.2830252981316
Episode 110: Total Reward = -1276.4108020992285
Episode 111: Total Reward = -1175.0937440338696
Episode 112: Total Reward = -1050.6004053656188
Episode 113: Total Reward = -1200.9678234564167
Episode 114: Total Reward = -1157.6497083415388
Episode 115: Total Reward = -992.784501334524
Episode 116: Total Reward = -1273.0577581094362
Episode 117: Total Reward = -1178.780015504667
