cuda
  5%|██████▍                                                                                                                | 27/500 [00:10<02:59,  2.63it/s]
Episode 1: Total Reward = -1572.368357410138
Saved best model with score -1572.368357410138 at episode 1
Episode 2: Total Reward = -1501.463695092288
Saved best model with score -1501.463695092288 at episode 2
Episode 3: Total Reward = -1580.7282148549891
Episode 4: Total Reward = -1514.8319492183184
Episode 5: Total Reward = -1603.218122703197
Episode 6: Total Reward = -1535.4257241759663
Episode 7: Total Reward = -1558.180082327133
Episode 8: Total Reward = -1522.4410389629168
Episode 9: Total Reward = -1640.1223100775592
Episode 10: Total Reward = -1609.3305441291402
Episode 11: Total Reward = -1518.0577680285173
Episode 12: Total Reward = -1528.7693104713837
Episode 13: Total Reward = -1560.298405877927
Episode 14: Total Reward = -1739.8536881832263
Episode 15: Total Reward = -1548.5114093877028
Episode 16: Total Reward = -1555.52916030065
Episode 17: Total Reward = -1478.4564443550921
Saved best model with score -1478.4564443550921 at episode 17
Episode 18: Total Reward = -1493.7451381949052
Episode 19: Total Reward = -1403.5552455830548
Saved best model with score -1403.5552455830548 at episode 19
Episode 20: Total Reward = -1736.2796158141148
Episode 21: Total Reward = -1694.6305655888466
Episode 22: Total Reward = -1662.6962973469927
Episode 23: Total Reward = -1524.7712962966846
Episode 24: Total Reward = -1578.042862126497
Episode 25: Total Reward = -1489.7273938178705
Episode 26: Total Reward = -1501.3341451910458
Episode 27: Total Reward = -1670.0251727843295
Episode 28: Total Reward = -1640.04349011852
Episode 29: Total Reward = -1532.569550437817
Episode 30: Total Reward = -1544.2092504596487
Episode 31: Total Reward = -1485.8171269454879
Episode 32: Total Reward = -1640.4153119792377
Episode 33: Total Reward = -1558.1973324843573
Episode 34: Total Reward = -1578.467738758627
Episode 35: Total Reward = -1487.7637797500454
Episode 36: Total Reward = -1594.142369950779
Episode 37: Total Reward = -1642.8719929863244
Episode 38: Total Reward = -1703.2117034954506
Episode 39: Total Reward = -1679.2898593411076
Episode 40: Total Reward = -1601.939539778126
Episode 41: Total Reward = -1564.3505164716796
Episode 42: Total Reward = -1440.0909997955173
Episode 43: Total Reward = -1507.3998309032768
Episode 44: Total Reward = -1626.2086035347327
Episode 45: Total Reward = -1527.2971557494675
Episode 46: Total Reward = -1582.7135924440647
Episode 47: Total Reward = -1554.0949447817277
Episode 48: Total Reward = -1556.9780546270235
Episode 49: Total Reward = -1518.77026801282
Episode 50: Total Reward = -1696.0853484963563
Episode 51: Total Reward = -1597.5923421739326
Episode 52: Total Reward = -1549.7820630223457
Episode 53: Total Reward = -1662.4023664240112
Episode 54: Total Reward = -1483.5555917302306
Episode 55: Total Reward = -1516.583013420867
Episode 56: Total Reward = -1516.1026825057697
Episode 57: Total Reward = -1486.6737768676874
Episode 58: Total Reward = -1659.4875273256498
Episode 59: Total Reward = -1630.5235575358256
Episode 60: Total Reward = -1598.6296736050822
Episode 61: Total Reward = -1522.4458755221121
Episode 62: Total Reward = -1513.4591242733995
Episode 63: Total Reward = -1581.6356917739747
Episode 64: Total Reward = -1789.7899963960308
Episode 65: Total Reward = -1715.0151885554073
Episode 66: Total Reward = -1666.4918020426355
Episode 67: Total Reward = -1594.2908861310066
Episode 68: Total Reward = -1528.7210559162927
Episode 69: Total Reward = -1594.1072647242484
Episode 70: Total Reward = -1610.0142400618201
Episode 71: Total Reward = -1582.941858333009
Episode 72: Total Reward = -1555.5201540248943
Episode 73: Total Reward = -1558.8562686299135
Episode 74: Total Reward = -1504.4404149290688
Episode 75: Total Reward = -1590.1015330319785
Episode 76: Total Reward = -1664.5953393304683
Episode 77: Total Reward = -1552.1150639011662
Episode 78: Total Reward = -1557.9753380788154
Episode 79: Total Reward = -1597.4252146178806
Episode 80: Total Reward = -1610.3008363125466
Episode 81: Total Reward = -1692.0284702361344
Episode 82: Total Reward = -1576.4635976451418
Episode 83: Total Reward = -1462.151438124872
Episode 84: Total Reward = -1711.129318296121
Episode 85: Total Reward = -1682.999128678551
Episode 86: Total Reward = -1431.073575103619
Episode 87: Total Reward = -1538.685359181046
Episode 88: Total Reward = -1610.9891534064961
