cuda
  6%|██████▉                                                                                                                | 29/500 [00:10<02:57,  2.65it/s]
Episode 1: Total Reward = -867.1425039795326
Saved best model with score -867.1425039795326 at episode 1
Episode 2: Total Reward = -747.3382486250033
Saved best model with score -747.3382486250033 at episode 2
Episode 3: Total Reward = -787.1020396254457
Episode 4: Total Reward = -866.0954569716142
Episode 5: Total Reward = -970.9338338527017
Episode 6: Total Reward = -912.1892582984633
Episode 7: Total Reward = -882.8356610550841
Episode 8: Total Reward = -921.7685400518401
Episode 9: Total Reward = -936.9003824685653
Episode 10: Total Reward = -760.0951842748849
Episode 11: Total Reward = -1031.7445360254471
Episode 12: Total Reward = -1045.4977493635824
Episode 13: Total Reward = -1016.4227598287492
Episode 14: Total Reward = -1168.5077300235246
Episode 15: Total Reward = -1362.0895134951156
Episode 16: Total Reward = -1368.1154221284792
Episode 17: Total Reward = -1540.5913985950117
Episode 18: Total Reward = -1460.0337224545924
Episode 19: Total Reward = -1520.5820696569938
Episode 20: Total Reward = -1568.1862522207023
Episode 21: Total Reward = -1616.2279209842368
Episode 22: Total Reward = -1575.4241199762234
Episode 23: Total Reward = -1614.213228098005
Episode 24: Total Reward = -1591.5974201368235
Episode 25: Total Reward = -1578.9251913044372
Episode 26: Total Reward = -1501.5486609293202
Episode 27: Total Reward = -1535.7645836639722
Episode 28: Total Reward = -1512.4555399162366
Episode 29: Total Reward = -1549.2871105183353
Episode 30: Total Reward = -1577.1246305450093
Episode 31: Total Reward = -1548.2856508149923
Episode 32: Total Reward = -1531.9087462399855
Episode 33: Total Reward = -1504.481773093458
Episode 34: Total Reward = -1514.8894286258812
Episode 35: Total Reward = -1521.2021801765345
Episode 36: Total Reward = -1495.3015919069062
Episode 37: Total Reward = -1537.6595896518381
Episode 38: Total Reward = -1499.1512276523235
Episode 39: Total Reward = -1537.7554545034427
Episode 40: Total Reward = -1481.5566386501848
Episode 41: Total Reward = -1527.4542890256675
Episode 42: Total Reward = -1565.4035222213126
Episode 43: Total Reward = -1478.238401518174
Episode 44: Total Reward = -1542.8764246501412
Episode 45: Total Reward = -1517.00309098697
Episode 46: Total Reward = -1461.8043577719623
Episode 47: Total Reward = -1454.8066338829394
Episode 48: Total Reward = -1115.3798580452287
Episode 49: Total Reward = -1438.324769838211
Episode 50: Total Reward = -1427.9677293407237
Episode 51: Total Reward = -1375.0972087291238
Episode 52: Total Reward = -1413.4212063150462
Episode 53: Total Reward = -1427.3792734395797
Episode 54: Total Reward = -1435.8522441502728
Episode 55: Total Reward = -1280.4594562878622
Episode 56: Total Reward = -1398.9254962534571
Episode 57: Total Reward = -1241.4683134930458
Episode 58: Total Reward = -1431.7337718304102
Episode 59: Total Reward = -1416.8725843073062
Episode 60: Total Reward = -1364.982387845708
Episode 61: Total Reward = -1400.9948108038814
Episode 62: Total Reward = -1381.6505303376832
Episode 63: Total Reward = -1379.5597349642344
Episode 64: Total Reward = -1392.0496054007908
Episode 65: Total Reward = -1283.6287979299332
Episode 66: Total Reward = -1415.5112949205336
Episode 67: Total Reward = -1299.5553166251416
Episode 68: Total Reward = -1422.9894264443124
Episode 69: Total Reward = -1294.9043179827645
Episode 70: Total Reward = -1172.940215445591
Episode 71: Total Reward = -1454.6702569190804
Episode 72: Total Reward = -1344.2776953000846
Episode 73: Total Reward = -1431.994896523973
Episode 74: Total Reward = -1286.0750465148967
Episode 75: Total Reward = -1147.4915761368723
Episode 76: Total Reward = -1271.8029024307152
Episode 77: Total Reward = -1306.7347232951952
Episode 78: Total Reward = -1301.1061036356928
Episode 79: Total Reward = -1209.9339296353926
Episode 80: Total Reward = -1251.0368657087395
Episode 81: Total Reward = -1191.926366440503
Episode 82: Total Reward = -1239.9999922067357
Episode 83: Total Reward = -1124.8665939316525
Episode 84: Total Reward = -1186.955036942927
Episode 85: Total Reward = -1193.079566056888
Episode 86: Total Reward = -1224.2514300102137
Episode 87: Total Reward = -1206.2226917413745
Episode 88: Total Reward = -1079.0362528196472
Episode 89: Total Reward = -1085.2013579729794
Episode 90: Total Reward = -1019.4320294991835
Episode 91: Total Reward = -1075.043478992026
Episode 92: Total Reward = -1196.974399854193
Episode 93: Total Reward = -1240.05838759928
Episode 94: Total Reward = -977.5376265269992
Episode 95: Total Reward = -1125.8290970999333
Episode 96: Total Reward = -1064.6704293368457
Episode 97: Total Reward = -1107.2826319462692
Episode 98: Total Reward = -1168.406857991705
Episode 99: Total Reward = -957.5047854710401
Episode 100: Total Reward = -1259.175406279774
Saved checkpoint at episode 100 to result-a2c_pendulum_sweep/exp_20250514-133607/checkpoint_ep100.pt
Episode 101: Total Reward = -1232.6857900188709
Episode 102: Total Reward = -1159.268038026138
Episode 103: Total Reward = -1190.4204786113703
Episode 104: Total Reward = -1140.758283309092
Episode 105: Total Reward = -1235.7562980115645
Episode 106: Total Reward = -1127.811817054892
Episode 107: Total Reward = -1105.8865848087546
Episode 108: Total Reward = -1175.4836841759657
Episode 109: Total Reward = -1122.3991130910738
Episode 110: Total Reward = -1021.2739850674376
Episode 111: Total Reward = -840.023088865118
Episode 112: Total Reward = -1098.0658104474564
Episode 113: Total Reward = -1049.3996088150316
Episode 114: Total Reward = -1135.6354075961244
Episode 115: Total Reward = -1010.8529172453719
Episode 116: Total Reward = -1070.4542529789387
Episode 117: Total Reward = -1119.5872336088294
Episode 118: Total Reward = -898.8268794772565
Episode 119: Total Reward = -875.2024696040487
Episode 120: Total Reward = -982.8329698674285
Episode 121: Total Reward = -1208.5955669924967
Episode 122: Total Reward = -1037.1436814211538
Episode 123: Total Reward = -866.0436122944177
Episode 124: Total Reward = -1234.2294216991418
Episode 125: Total Reward = -1218.8547007556963
Episode 126: Total Reward = -1315.8258015890162
Episode 127: Total Reward = -1277.7638091802535
Episode 128: Total Reward = -1263.800932090557
Episode 129: Total Reward = -1323.9649245144503
Episode 130: Total Reward = -1227.032460774384
